NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Sebastian Szymanski,16,778,0.12,0.08,0.04,1.39,0.58,8.33%,0.06,10.41,109.4,10.5,4.63,39.3,1.0,0.35,0.00,0.35,0.00,2.66,0.35,4.05,0.35,0.46,7.87,4.40,55.9%,1.62,0.35,21.4%,39.91,31.47,78.8%,15.96,10.99,68.8%,1.50,0.23,15.4%,0.46
Seko Fofana,12,654,0.14,0.14,-0.01,1.24,0.41,11.11%,0.12,18.99,218.2,11.5,9.50,80.3,1.2,0.14,0.00,1.10,0.00,0.41,0.55,5.78,0.14,0.96,6.88,3.85,56.0%,1.38,1.10,80.0%,49.54,45.14,91.1%,16.79,14.04,83.6%,0.96,0.14,14.3%,0.14
Senny Mayulu,26,1681,0.21,0.22,-0.00,1.87,0.59,11.43%,0.12,12.74,140.5,11.0,5.03,42.9,0.5,0.48,0.00,0.43,0.05,2.57,0.59,4.39,0.05,0.27,9.05,4.50,49.7%,1.23,0.43,34.8%,41.06,36.62,89.2%,16.28,13.49,82.9%,1.34,0.37,28.0%,0.11
Seny Koumbassa,10,463,0.19,0.05,0.15,0.58,0.19,33.33%,0.08,8.55,79.0,9.2,3.69,24.2,1.3,0.19,0.00,0.00,0.00,1.94,0.58,3.89,0.39,6.41,2.72,1.94,71.4%,1.17,0.78,66.7%,33.05,28.38,85.9%,2.14,0.97,45.5%,0.00,0.00,0.0%,0.00
Sidiki Cherif,19,1164,0.31,0.23,0.08,2.16,0.93,14.29%,0.11,8.51,118.0,13.9,5.57,78.6,1.1,1.01,0.15,0.00,0.00,0.62,0.54,3.17,0.00,0.15,6.88,2.71,39.3%,3.94,1.31,33.3%,17.40,12.99,74.7%,4.87,3.02,61.9%,0.46,0.08,16.7%,0.08
Simon Adingra,14,861,0.31,0.26,0.05,2.30,0.63,13.64%,0.11,18.92,226.0,11.9,10.98,118.4,1.1,0.84,0.10,0.63,0.00,1.15,0.63,6.27,0.00,0.52,12.75,4.39,34.4%,1.36,0.42,30.8%,36.06,27.70,76.8%,17.56,12.23,69.6%,3.03,0.73,24.1%,0.10
Simon Ebonog,30,1761,0.05,0.09,-0.04,1.12,0.20,4.55%,0.08,9.76,116.9,12.0,5.62,64.2,0.6,0.20,0.00,0.10,0.00,1.99,1.23,5.57,0.20,1.18,9.05,4.60,50.8%,2.35,1.18,50.0%,23.97,18.91,78.9%,7.31,5.32,72.7%,0.77,0.20,26.7%,0.05
Sinaly Diomandé,24,2134,0.08,0.08,0.01,0.38,0.17,22.22%,0.20,7.84,80.9,10.3,4.30,44.6,0.4,0.00,0.00,0.04,0.00,1.39,1.31,3.37,0.59,4.81,4.43,2.57,58.1%,2.61,1.60,61.3%,40.19,34.67,86.3%,5.78,3.67,63.5%,0.00,0.00,0.0%,0.00
Sofiane Boufal,17,1028,0.09,0.13,-0.04,1.66,0.35,5.26%,0.08,16.20,179.9,11.1,8.75,82.2,0.8,0.70,0.00,1.05,0.18,2.19,0.26,5.69,0.00,0.35,15.23,7.18,47.1%,0.53,0.35,66.7%,30.38,23.03,75.8%,13.39,9.11,68.0%,1.84,0.35,19.1%,0.26
Sofiane Diop,33,2144,0.34,0.30,0.03,2.27,0.71,14.81%,0.13,13.01,140.3,10.8,6.13,56.5,0.4,0.46,0.00,0.34,0.00,0.92,0.84,4.66,0.08,0.46,8.77,4.16,47.4%,1.30,0.38,29.0%,36.81,28.71,78.0%,15.41,10.70,69.5%,1.18,0.25,21.4%,0.59
Soumaïla Coulibaly,16,1339,0.00,0.02,-0.02,0.40,0.13,0.00%,0.06,12.43,118.8,9.6,7.12,69.4,0.7,0.00,0.00,0.00,0.00,0.94,0.94,4.91,0.60,5.04,3.97,2.42,61.0%,2.69,1.81,67.5%,50.07,45.17,90.2%,5.04,3.23,64.0%,0.07,0.00,0.0%,0.00
Stephan Zagadou,8,497,0.18,0.01,0.17,0.18,0.18,100.00%,0.07,12.49,119.5,9.6,5.43,45.8,1.5,0.00,0.00,0.00,0.00,1.99,0.36,1.45,1.45,3.62,3.98,2.54,63.6%,3.44,1.27,36.8%,36.40,32.41,89.0%,5.07,3.26,64.3%,0.00,0.00,0.0%,0.00
Sékou Mara,27,1229,0.22,0.23,-0.01,2.42,0.88,9.09%,0.09,6.00,69.9,11.6,2.27,20.9,0.7,0.37,0.00,0.07,0.07,0.95,0.29,1.83,0.00,0.66,9.15,4.17,45.6%,6.00,2.56,42.7%,17.50,12.74,72.8%,7.91,5.57,70.4%,0.00,0.00,0.0%,0.15
Takumi Minamino,15,949,0.28,0.30,-0.02,1.99,0.66,14.29%,0.15,7.97,84.4,10.6,4.55,42.0,0.9,0.38,0.00,0.09,0.00,0.28,0.38,3.70,0.19,0.47,5.03,1.42,28.3%,1.33,0.57,42.9%,29.21,21.43,73.4%,12.14,8.16,67.2%,0.76,0.00,0.0%,0.66
Tanner Tessmann,29,1951,0.05,0.10,-0.06,1.20,0.37,3.85%,0.09,13.05,133.9,10.3,6.27,57.0,0.4,0.09,0.00,0.09,0.00,1.34,0.65,5.44,0.60,2.49,5.26,2.63,50.0%,2.08,1.15,55.6%,50.33,43.27,86.0%,11.49,8.49,73.9%,0.74,0.14,18.8%,0.14
Terem Moffi,10,489,0.37,0.60,-0.24,2.94,1.47,12.50%,0.21,5.52,60.7,11.0,1.84,16.4,1.6,0.55,0.00,0.37,0.00,0.18,0.00,1.84,0.00,0.18,4.42,1.10,25.0%,2.58,1.10,42.9%,13.62,9.75,71.6%,6.63,4.79,72.2%,0.00,0.00,0.0%,0.00
Terry Yegbe,24,1966,0.00,0.05,-0.05,0.27,0.09,0.00%,0.18,11.86,110.5,9.3,5.58,45.5,0.4,0.00,0.00,0.09,0.05,0.69,1.05,2.70,0.87,5.77,2.43,1.14,47.2%,1.60,0.87,54.3%,52.78,46.51,88.1%,4.35,2.56,59.0%,0.23,0.05,20.0%,0.09
Thibault De Smet,17,1147,0.00,0.01,-0.01,0.31,0.00,0.00%,0.05,9.02,96.5,10.7,5.10,50.1,0.8,0.00,0.00,0.08,0.00,1.80,0.63,3.61,0.16,4.08,5.57,3.06,54.9%,1.41,0.94,66.7%,43.23,36.56,84.6%,8.47,6.36,75.0%,2.04,0.31,15.4%,0.00
Thilo Kehrer,28,2358,0.00,0.06,-0.06,0.61,0.04,0.00%,0.10,14.62,137.9,9.4,8.28,80.1,0.4,0.00,0.00,0.00,0.00,2.48,1.15,3.51,0.80,3.97,5.69,3.74,65.8%,4.20,2.56,60.9%,62.71,54.62,87.1%,10.61,7.60,71.6%,0.19,0.00,0.0%,0.19
Thomas Meunier,25,1910,0.05,0.06,-0.02,0.85,0.19,5.56%,0.07,13.15,155.8,11.9,6.97,70.0,0.5,0.24,0.00,0.19,0.00,1.46,0.75,4.76,0.09,2.45,4.99,2.17,43.4%,1.37,0.80,58.6%,48.39,40.05,82.8%,16.87,12.16,72.1%,2.31,0.47,20.4%,0.09
Théo Le Bris,28,1898,0.09,0.08,0.01,0.81,0.33,11.76%,0.10,6.59,78.0,11.8,4.79,57.5,0.6,0.05,0.00,0.33,0.09,1.90,0.81,2.70,0.00,1.99,4.65,2.75,59.2%,0.90,0.33,36.8%,29.68,25.61,86.3%,10.38,8.58,82.7%,3.84,0.66,17.3%,0.00
Tiago Gouveia,15,526,0.00,0.15,-0.15,2.05,0.68,0.00%,0.07,9.92,106.3,10.7,6.16,38.8,1.1,0.68,0.00,0.00,0.00,1.37,1.54,5.99,0.00,1.03,10.10,4.11,40.7%,0.86,0.34,40.0%,30.63,23.44,76.5%,8.73,6.33,72.5%,0.51,0.00,0.0%,0.00
Tiago Santos,15,708,0.00,0.06,-0.06,1.14,0.00,0.00%,0.05,17.03,216.6,12.7,11.44,152.1,1.7,0.64,0.00,0.13,0.00,1.78,0.76,3.18,0.00,1.91,10.30,4.83,46.9%,1.14,0.38,33.3%,36.99,31.02,83.8%,11.31,8.14,71.9%,4.19,0.64,15.2%,0.00
Timothy Weah,29,2263,0.08,0.07,0.01,1.15,0.40,6.90%,0.06,14.28,160.4,11.2,6.92,63.0,0.4,0.60,0.00,0.36,0.04,1.91,0.68,4.02,0.16,1.03,6.36,3.14,49.4%,1.11,0.68,60.7%,40.53,34.84,86.0%,14.40,11.49,79.8%,2.39,0.52,21.7%,0.16
Timothée Kolodziejczak,11,660,0.00,0.02,-0.02,0.14,0.14,0.00%,0.12,16.50,157.7,9.6,8.05,76.6,1.3,0.00,0.00,0.00,0.00,1.23,1.09,4.09,0.41,5.05,2.59,1.50,57.9%,3.55,1.36,38.5%,67.64,61.09,90.3%,6.55,3.68,56.3%,0.00,0.00,0.0%,0.00
Tom Louchet,27,1364,0.20,0.20,0.00,1.39,0.40,14.29%,0.14,9.44,94.5,10.0,4.35,35.1,0.5,0.26,0.07,0.26,0.00,2.31,0.66,4.09,0.26,1.78,7.52,3.96,52.6%,1.19,0.53,44.4%,35.23,27.78,78.8%,11.48,7.65,66.7%,2.51,0.53,21.1%,0.13
Tylel Tati,20,1724,0.00,0.01,-0.01,0.16,0.00,0.00%,0.09,13.57,140.9,10.4,8.09,88.2,0.6,0.05,0.00,0.00,0.00,0.99,0.89,3.03,0.78,4.12,3.60,2.14,59.4%,1.41,0.68,48.1%,49.59,43.64,88.0%,4.54,2.30,50.6%,0.05,0.05,100.0%,0.00
Tyler Morton,29,2524,0.07,0.06,0.01,1.00,0.29,7.14%,0.06,14.80,167.6,11.3,7.17,69.4,0.3,0.11,0.00,0.07,0.04,1.71,0.78,4.56,0.46,1.50,4.99,2.89,57.9%,1.43,0.61,42.5%,54.06,47.46,87.8%,15.37,11.59,75.4%,0.61,0.14,23.5%,0.32
Valentin Rongier,31,2745,0.07,0.03,0.03,0.72,0.33,9.09%,0.05,13.28,126.2,9.5,6.72,59.9,0.3,0.26,0.03,0.13,0.03,2.43,1.28,5.41,0.33,1.97,7.48,3.90,52.2%,1.80,1.02,56.4%,66.95,59.67,89.1%,20.59,17.05,82.8%,0.66,0.10,15.0%,0.43
Valentín Barco,27,2170,0.08,0.14,-0.05,1.12,0.41,7.41%,0.12,16.42,153.8,9.4,8.79,81.6,0.4,0.04,0.00,0.29,0.08,2.24,0.58,5.31,0.08,0.46,9.91,5.76,58.2%,0.79,0.37,47.4%,64.37,55.58,86.3%,18.21,12.82,70.4%,1.66,0.29,17.5%,1.62
Vanderson,14,613,0.00,0.02,-0.02,0.44,0.00,0.00%,0.04,11.01,126.3,11.5,6.46,72.3,1.6,0.00,0.00,0.15,0.00,3.52,3.38,4.99,0.00,4.40,9.84,4.99,50.7%,1.76,1.47,83.3%,53.44,42.72,80.0%,20.85,15.56,74.7%,4.85,1.17,24.2%,0.29
Vincent Marchetti,23,818,0.22,0.24,-0.02,2.64,0.77,8.33%,0.09,10.67,111.6,10.5,5.17,55.6,1.2,0.22,0.00,0.00,0.00,1.98,0.44,3.74,0.33,2.53,7.26,3.52,48.5%,2.42,1.32,54.5%,44.12,38.62,87.5%,10.89,8.25,75.8%,0.11,0.11,100.0%,0.22
Vitinha,29,2121,0.04,0.04,-0.00,1.44,0.42,2.94%,0.03,35.39,380.0,10.7,16.51,168.9,0.4,0.55,0.00,0.47,0.08,1.02,1.15,5.81,0.21,0.93,4.16,2.46,59.2%,0.30,0.17,57.1%,116.39,109.14,93.8%,31.27,26.69,85.3%,0.30,0.08,28.6%,0.72
Warren Kamanzi,24,858,0.10,0.09,0.01,1.26,0.21,8.33%,0.07,12.17,122.7,10.1,5.45,46.2,0.9,0.31,0.00,0.21,0.00,1.99,0.84,3.04,0.21,1.99,6.92,4.20,60.6%,1.15,0.21,18.2%,30.63,26.75,87.3%,10.38,8.29,79.8%,1.15,0.10,9.1%,0.21
Warren Zaïre-Emery,32,2453,0.11,0.04,0.07,0.70,0.26,15.79%,0.06,23.08,246.9,10.7,10.60,90.2,0.3,0.15,0.04,0.48,0.07,1.76,0.44,5.47,0.22,0.81,7.19,3.49,48.5%,0.84,0.62,73.9%,75.54,70.77,93.7%,23.22,20.77,89.4%,0.55,0.07,13.3%,0.22
Wesley Saïd,29,2010,0.54,0.44,0.09,2.69,1.21,20.00%,0.17,8.69,94.9,10.9,4.61,43.8,0.4,0.36,0.09,0.45,0.09,0.94,0.45,2.69,0.00,0.85,6.27,2.69,42.9%,1.84,0.67,36.6%,31.21,25.75,82.5%,11.82,8.24,69.7%,0.94,0.27,28.6%,0.27
Willem Geubbels,24,1012,0.44,0.51,-0.06,2.67,0.80,16.67%,0.19,5.25,56.6,10.8,2.67,25.3,0.8,0.53,0.09,0.27,0.00,0.27,0.53,2.31,0.27,1.16,4.00,0.62,15.6%,6.31,2.76,43.7%,18.59,12.98,69.9%,7.56,4.45,58.8%,0.80,0.00,0.0%,0.09
Willian Pacho,23,1915,0.00,0.05,-0.05,0.38,0.05,0.00%,0.12,12.41,114.7,9.2,5.64,45.4,0.4,0.00,0.00,0.00,0.00,1.88,1.13,5.17,0.47,3.10,3.15,2.21,70.1%,3.01,1.69,56.3%,79.57,75.62,95.0%,4.28,3.57,83.5%,0.00,0.00,0.0%,0.09
Wout Faes,14,1141,0.00,0.03,-0.03,0.39,0.08,0.00%,0.08,14.36,140.2,9.8,7.49,79.9,0.8,0.00,0.00,0.00,0.00,1.18,1.26,3.08,0.87,4.34,3.00,1.50,50.0%,3.16,1.89,60.0%,61.68,57.34,93.0%,9.23,7.34,79.5%,0.08,0.00,0.0%,0.00
Yanis Zouaoui,30,2348,0.04,0.05,-0.01,0.61,0.19,6.25%,0.09,11.96,139.9,11.7,7.40,79.4,0.4,0.08,0.00,0.31,0.00,1.84,1.00,4.45,0.46,2.26,6.82,3.56,52.2%,1.42,0.69,48.6%,36.57,28.40,77.7%,9.93,5.94,59.9%,3.49,0.88,25.3%,0.00
Yann Gboho,32,2630,0.27,0.20,0.07,1.98,0.55,13.79%,0.10,16.49,197.9,12.0,9.92,119.9,0.4,0.58,0.03,0.82,0.07,0.89,0.48,5.10,0.03,0.10,11.98,5.89,49.1%,0.55,0.07,12.5%,27.65,22.65,81.9%,15.23,11.57,76.0%,1.13,0.27,24.2%,0.21
Yassin Belkhdim,27,2149,0.08,0.10,-0.01,1.38,0.59,6.06%,0.07,6.16,64.1,10.4,2.76,25.0,0.4,0.25,0.00,0.13,0.00,2.47,1.51,3.48,0.25,0.96,6.91,3.85,55.8%,1.09,0.46,42.3%,30.32,25.50,84.1%,6.16,4.90,79.6%,1.76,0.25,14.3%,0.00
Yassine Benhattab,10,477,0.00,0.03,-0.03,0.75,0.19,0.00%,0.04,13.96,197.3,14.1,7.74,89.2,2.2,0.38,0.00,0.75,0.00,1.89,0.00,5.28,0.00,0.57,6.98,3.96,56.8%,0.94,0.19,20.0%,26.60,19.25,72.3%,9.43,5.66,60.0%,3.58,0.57,15.8%,0.19
Yassine Kechta,30,1332,0.14,0.11,0.02,1.42,0.61,9.52%,0.08,9.86,116.5,11.8,5.68,60.5,0.7,0.41,0.07,0.41,0.00,2.16,1.15,4.39,0.27,1.28,10.00,3.72,37.2%,1.49,0.20,13.6%,28.24,22.50,79.7%,9.19,6.15,66.9%,1.42,0.41,28.6%,0.20
Youssef El-Arabi,25,938,0.29,0.24,0.05,1.44,0.86,20.00%,0.17,6.91,70.6,10.2,2.88,14.8,0.5,0.10,0.10,0.29,0.00,1.15,0.29,4.13,0.10,1.06,8.16,3.84,47.1%,6.72,2.40,35.7%,25.33,16.02,63.3%,9.21,4.13,44.8%,0.19,0.00,0.0%,0.19
Aaron Hickey,21,685,0.00,0.06,-0.06,0.79,0.13,0.00%,0.08,8.28,82.8,10.0,2.89,27.7,1.3,0.00,0.00,0.00,0.00,1.97,1.05,4.60,0.79,3.02,6.31,3.15,50.0%,2.36,1.18,50.0%,37.58,31.40,83.6%,7.75,4.99,64.4%,0.53,0.00,0.0%,0.00
Aaron Wan-Bissaka,25,2084,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,7.86,91.2,11.6,4.28,47.5,0.5,0.00,0.00,0.26,0.04,1.43,1.73,3.24,0.22,4.06,5.14,2.63,51.3%,1.99,0.95,47.8%,31.87,24.44,76.7%,10.41,7.43,71.4%,1.81,0.69,38.1%,0.09
Abdukodir Khusanov,21,1429,0.00,0.04,-0.04,0.44,0.06,0.00%,0.10,15.30,165.8,10.8,7.62,73.5,0.6,0.06,0.00,0.19,0.00,1.70,2.08,4.72,0.57,3.53,3.84,2.52,65.6%,1.89,0.94,50.0%,68.02,62.41,91.8%,9.89,8.19,82.8%,0.19,0.06,33.3%,0.00
Adam Armstrong,14,1146,0.16,0.22,-0.06,1.41,0.47,11.11%,0.15,2.91,27.4,9.4,0.79,2.8,0.3,0.24,0.08,0.00,0.00,0.63,0.16,1.18,0.08,0.94,4.16,1.65,39.6%,1.81,0.71,39.1%,11.94,8.17,68.4%,5.26,3.61,68.7%,0.39,0.08,20.0%,0.08
Adam Smith,22,1076,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,3.68,40.0,10.9,2.01,17.2,0.7,0.00,0.00,0.08,0.00,1.25,0.67,2.43,0.75,3.18,5.02,2.17,43.3%,2.51,1.17,46.7%,30.36,23.67,78.0%,9.70,5.94,61.2%,1.09,0.08,7.7%,0.00
Adam Wharton,34,2562,0.04,0.05,-0.02,1.12,0.21,3.12%,0.05,9.59,93.4,9.7,5.20,54.1,0.4,0.11,0.00,0.35,0.07,2.46,0.95,5.80,0.11,1.48,8.19,4.07,49.8%,1.93,0.84,43.6%,43.28,34.32,79.3%,14.54,9.80,67.4%,1.19,0.42,35.3%,0.74
Adrien Truffert,38,3380,0.03,0.04,-0.01,0.43,0.16,6.25%,0.09,11.72,130.8,11.2,7.43,84.0,0.3,0.08,0.00,0.19,0.03,2.74,1.28,5.01,0.27,3.81,8.01,4.47,55.8%,2.61,1.17,44.9%,41.54,34.67,83.5%,12.36,9.80,79.3%,3.75,0.85,22.7%,0.00
Alejandro Garnacho,24,1268,0.07,0.24,-0.17,2.34,0.50,3.03%,0.10,20.51,254.0,12.4,11.85,152.2,0.9,0.92,0.07,1.35,0.28,1.06,0.28,3.19,0.00,0.43,7.59,3.69,48.6%,1.14,0.21,18.8%,33.57,29.31,87.3%,17.25,14.48,84.0%,4.19,0.57,13.6%,0.00
Alex Iwobi,29,2434,0.15,0.07,0.08,1.44,0.55,10.26%,0.05,16.08,180.6,11.2,8.47,89.5,0.4,0.41,0.00,0.26,0.00,1.00,0.52,4.70,0.11,0.67,4.51,2.03,45.1%,0.55,0.26,46.7%,52.95,45.07,85.1%,18.23,13.90,76.3%,1.96,0.63,32.1%,0.37
Alex Scott,37,2859,0.09,0.12,-0.03,1.39,0.41,6.82%,0.09,13.91,155.4,11.2,6.86,68.5,0.3,0.25,0.00,0.25,0.00,1.89,1.13,6.14,0.44,2.55,8.34,4.66,55.8%,2.14,1.16,54.4%,43.85,37.21,84.8%,11.84,8.34,70.5%,0.85,0.22,25.9%,0.31
Alexander Isak,14,703,0.38,0.34,0.04,2.18,0.77,17.65%,0.16,3.84,43.5,11.3,2.30,28.8,1.6,0.38,0.00,0.00,0.00,0.90,0.00,1.66,0.13,1.15,3.97,1.15,29.0%,3.46,1.02,29.6%,11.27,7.04,62.5%,6.79,3.97,58.5%,0.26,0.00,0.0%,0.13
Alexis Mac Allister,37,2662,0.07,0.13,-0.06,1.76,0.41,3.85%,0.07,9.43,96.3,10.2,4.60,47.7,0.4,0.24,0.00,0.10,0.00,1.79,0.71,3.79,0.30,1.18,7.20,3.25,45.1%,1.25,0.57,45.9%,48.62,42.09,86.6%,15.45,12.37,80.1%,0.37,0.07,18.2%,0.17
Amad Diallo,32,2344,0.08,0.21,-0.14,2.03,0.88,3.77%,0.11,14.90,180.6,12.1,8.49,85.7,0.4,0.92,0.00,0.69,0.04,1.46,0.65,4.34,0.12,1.11,8.52,4.42,51.8%,1.23,0.50,40.6%,34.71,30.52,87.9%,15.13,12.67,83.8%,1.27,0.35,27.3%,0.15
Amadou Onana,25,1764,0.10,0.09,0.01,0.97,0.36,10.53%,0.09,9.44,99.1,10.5,3.83,35.8,0.5,0.10,0.00,0.05,0.00,2.45,1.28,3.67,0.87,3.01,6.28,3.93,62.6%,3.47,2.30,66.2%,43.32,37.86,87.4%,9.80,7.09,72.4%,0.00,0.00,0.0%,0.15
Amine Adli,31,1082,0.25,0.22,0.03,1.66,0.75,15.00%,0.13,9.57,125.0,13.1,4.82,66.0,1.1,0.33,0.00,0.25,0.00,2.99,0.58,5.07,0.17,1.41,10.23,5.49,53.7%,4.74,2.50,52.6%,34.35,26.53,77.2%,15.22,10.73,70.5%,2.08,0.17,8.0%,0.25
Andrey Santos,27,1255,0.07,0.14,-0.07,0.79,0.14,9.09%,0.18,8.75,78.8,9.0,4.52,39.6,0.6,0.07,0.00,0.07,0.00,2.65,1.43,3.44,0.43,1.29,6.45,4.37,67.8%,2.22,1.00,45.2%,57.16,51.49,90.1%,11.62,9.75,84.0%,0.14,0.00,0.0%,0.22
André,35,2766,0.03,0.02,0.02,0.49,0.03,6.67%,0.03,9.37,93.8,10.0,4.39,41.1,0.3,0.10,0.03,0.13,0.00,2.67,0.98,6.90,0.42,1.63,8.85,4.69,52.9%,0.62,0.13,21.1%,42.66,38.98,91.4%,7.45,6.15,82.5%,0.42,0.10,23.1%,0.03
Andy Robertson,24,1172,0.08,0.08,-0.01,0.77,0.23,10.00%,0.11,9.06,107.9,11.9,5.61,77.1,1.1,0.31,0.08,0.15,0.00,0.92,0.61,3.07,0.23,2.46,2.15,1.23,57.1%,2.23,1.08,48.3%,54.60,45.46,83.3%,20.35,16.13,79.3%,3.61,0.92,25.5%,0.15
Angel Gomes,12,464,0.00,0.05,-0.05,1.16,0.39,0.00%,0.04,7.56,66.7,8.8,3.49,25.1,1.4,0.19,0.00,0.00,0.00,1.94,0.00,3.30,0.39,0.78,7.76,4.46,57.5%,0.78,0.39,50.0%,36.47,31.23,85.6%,11.25,9.12,81.0%,0.58,0.19,33.3%,0.19
Anthony Elanga,32,1313,0.00,0.11,-0.11,1.17,0.27,0.00%,0.10,11.72,155.8,13.3,7.68,104.4,0.9,0.41,0.00,0.41,0.07,0.96,0.21,2.19,0.00,0.41,8.09,3.56,44.1%,2.40,0.89,37.1%,29.20,23.58,80.8%,13.85,10.56,76.2%,4.66,0.75,16.2%,0.21
Anthony Gordon,26,1814,0.30,0.44,-0.14,2.38,0.99,12.50%,0.18,13.45,180.6,13.4,7.74,101.2,0.6,0.64,0.00,0.40,0.10,0.94,0.15,2.83,0.00,0.64,8.88,4.56,51.4%,1.69,0.40,23.5%,25.65,20.99,81.8%,13.30,10.07,75.8%,3.32,0.69,20.9%,0.20
Antoine Semenyo,37,3200,0.48,0.31,0.17,2.33,1.15,20.48%,0.13,12.88,170.8,13.3,6.86,79.8,0.3,0.73,0.11,0.51,0.08,1.27,0.37,4.02,0.20,0.82,9.42,3.52,37.3%,3.38,1.66,49.2%,26.32,21.07,80.0%,12.91,9.59,74.3%,1.38,0.23,16.3%,0.14
Anton Stach,29,2378,0.19,0.11,0.08,2.08,0.53,9.09%,0.05,8.86,102.5,11.6,4.73,51.3,0.4,0.38,0.04,0.42,0.04,2.46,0.76,4.50,0.34,1.97,8.14,4.05,49.8%,2.91,1.82,62.3%,35.54,27.48,77.3%,13.51,9.46,70.0%,1.40,0.49,35.1%,0.08
Antonee Robinson,22,1492,0.06,0.06,-0.00,0.36,0.06,16.67%,0.18,13.81,161.8,11.7,8.45,93.7,0.7,0.06,0.00,0.48,0.00,2.90,1.75,5.91,0.18,3.32,7.36,4.16,56.6%,1.81,1.09,60.0%,48.26,38.61,80.0%,14.90,10.98,73.7%,4.64,0.84,18.2%,0.06
Ao Tanaka,28,1314,0.14,0.11,0.03,1.16,0.34,11.76%,0.09,9.79,97.0,9.9,4.79,38.9,0.6,0.07,0.00,0.21,0.00,1.85,1.44,5.55,0.14,1.03,5.89,2.74,46.5%,1.71,0.82,48.0%,47.26,40.41,85.5%,11.85,8.90,75.1%,1.23,0.27,22.2%,0.21
Archie Gray,24,1479,0.12,0.09,0.03,0.67,0.30,18.18%,0.13,9.01,102.2,11.3,4.44,44.1,0.6,0.06,0.00,0.18,0.12,0.67,1.03,3.47,0.24,2.68,3.59,1.22,33.9%,1.52,0.55,36.0%,32.80,27.26,83.1%,9.07,6.57,72.5%,0.73,0.24,33.3%,0.12
Armando Broja,24,849,0.11,0.23,-0.12,1.70,0.64,6.25%,0.13,8.06,98.9,12.3,4.24,47.4,1.2,0.53,0.00,0.21,0.00,0.64,0.32,2.76,0.00,0.95,8.90,3.18,35.7%,11.77,3.71,31.5%,16.01,11.13,69.5%,8.37,5.51,65.8%,0.32,0.11,33.3%,0.00
Axel Disasi,14,1255,0.00,0.07,-0.07,0.36,0.22,0.00%,0.20,7.89,83.1,10.5,3.87,44.7,0.8,0.07,0.00,0.00,0.00,1.00,0.93,2.29,0.86,3.51,2.08,1.43,69.0%,2.22,1.29,58.1%,40.59,35.14,86.6%,4.66,2.65,56.9%,0.00,0.00,0.0%,0.00
Axel Tuanzebe,14,1202,0.07,0.05,0.03,0.15,0.07,50.00%,0.30,8.31,82.9,10.0,4.42,41.4,0.7,0.00,0.00,0.00,0.00,1.05,0.82,3.00,0.75,6.21,2.55,1.20,47.1%,3.44,1.65,47.8%,42.60,36.01,84.5%,4.57,2.32,50.8%,0.07,0.00,0.0%,0.00
Ayden Heaven,17,923,0.00,0.03,-0.03,0.29,0.00,0.00%,0.12,12.68,128.0,10.1,5.66,55.2,1.0,0.00,0.00,0.10,0.00,2.15,0.10,3.90,1.07,5.85,5.07,3.61,71.2%,2.73,1.76,64.3%,48.17,43.59,90.5%,4.49,3.22,71.7%,0.10,0.00,0.0%,0.10
Bafodé Diakité,18,1275,0.00,0.00,-0.00,0.07,0.00,0.00%,0.02,10.94,107.3,9.8,7.20,69.2,0.7,0.00,0.00,0.00,0.00,1.41,0.85,3.39,0.35,5.86,2.82,1.76,62.5%,5.01,2.47,49.3%,52.87,46.52,88.0%,8.40,6.00,71.4%,0.07,0.00,0.0%,0.07
Bashir Humphreys,20,1578,0.00,0.02,-0.02,0.51,0.17,0.00%,0.05,13.92,155.2,11.1,6.67,70.8,0.6,0.11,0.00,0.00,0.00,1.54,0.63,3.94,0.80,4.79,4.90,2.45,50.0%,3.31,1.48,44.8%,48.54,39.75,81.9%,9.64,7.07,73.4%,1.03,0.17,16.7%,0.00
